time,latitude,longitude,depth,mag,magType,magSource
2023-11-06T15:35:11.070Z,33.9068333,-116.745,18.34,1,ml,ci
2023-11-06T15:18:31.970Z,17.91533333,-66.28533333,12.54,2.06,md,pr
2023-11-06T15:06:02.663Z,60.9407,-150.5375,66.2,1.5,ml,ak
2023-11-06T15:01:54.500Z,44.2705,-110.6176667,11.26,1.33,md,uu
2023-11-06T15:00:28.867Z,58.1876,-155.3656,5.5,1.2,ml,ak
2023-11-06T14:49:09.380Z,44.2628333,-110.6161667,9.34,2.36,ml,uu
2023-11-06T14:48:04.412Z,31.698,-104.176,4.3648,1.7,ml(texnet),tx
2023-11-06T14:46:58.350Z,44.2638333,-110.628,7.59,2.14,ml,uu
2023-11-06T14:42:02.620Z,44.2658333,-110.6243333,7.4,2.51,ml,uu
2023-11-06T14:41:11.130Z,44.2666667,-110.6295,6.92,1.28,md,uu
2023-11-06T14:34:11.670Z,38.8136673,-122.7553329,1.94,0.79,md,nc
2023-11-06T14:30:02.508Z,61.5622,-151.4293,75.1,1.7,ml,ak
2023-11-06T14:29:04.850Z,18.62566667,-66.888,14.13,2.65,md,pr
2023-11-06T14:14:36.935Z,63.5319,-147.7374,20.7,1.2,ml,ak
2023-11-06T14:00:41.623Z,36.7004,-115.8222,6,0.3,ml,nn
2023-11-06T14:00:21.790Z,38.8756676,-122.7331696,17.18,0.94,md,nc
2023-11-06T13:51:10.713Z,-33.0813,-71.9791,29.004,5.2,mww,us
2023-11-06T13:49:19.929Z,59.2973,-152.4229,74.1,2.2,ml,ak
2023-11-06T13:33:22.840Z,36.8924,-116.0155,5.7,-0.3,ml,nn
2023-11-06T13:29:03.657Z,31.746,-104.133,4.5214,1.7,ml(texnet),tx
2023-11-06T13:18:39.100Z,61.8198,-151.3452,90.6,1.5,ml,ak
2023-11-06T13:16:18.860Z,44.2671667,-110.6285,8.59,1.75,ml,uu
2023-11-06T13:08:09.796Z,-1.3709,126.4512,33.933,4.6,mb,us
2023-11-06T13:00:24.170Z,19.37899971,-155.2341614,1.820000052,1.81,ml,hv
2023-11-06T12:59:46.681Z,58.7552,-153.7591,15.7,1.6,ml,ak
2023-11-06T12:57:19.720Z,36.5374985,-121.1084976,6.64,1.94,md,nc
2023-11-06T12:46:34.162Z,-23.3636,170.727,10,4.6,mb,us
2023-11-06T12:26:20.360Z,44.2815,-110.6353333,10.1,1.15,md,uu
2023-11-06T12:17:32.530Z,54.8758,-156.269,1.5,3.6,ml,ak
2023-11-06T12:15:03.500Z,33.7835,-116.9111667,10.92,0.6,ml,ci
2023-11-06T12:11:02.620Z,61.9108,-148.593,38.9,1.3,ml,ak
2023-11-06T12:09:31.760Z,35.8455,-121.3195,7.79,1.5,md,nc
2023-11-06T12:09:12.000Z,33.0113333,-116.2505,7.2,2.04,ml,ci
2023-11-06T12:04:21.255Z,-1.2269,-24.137,10,5.5,mww,us
2023-11-06T12:03:16.690Z,32.9551667,-115.8488333,7.86,1.04,ml,ci
2023-11-06T12:01:56.980Z,44.2841667,-110.6265,13.59,1.19,md,uu
2023-11-06T11:42:06.741Z,62.3333,-147.8359,41.5,1.4,ml,ak
2023-11-06T11:38:47.959Z,37.1439,-116.8404,0,0.6,ml,nn
2023-11-06T11:33:56.760Z,19.22183418,-155.3721619,30.72999954,2.24000001,md,hv
2023-11-06T11:32:28.550Z,33.9431667,-117.9243333,7.01,1.12,ml,ci
2023-11-06T11:30:52.740Z,18.0745,-66.95283333,10.83,2.38,md,pr
2023-11-06T11:27:57.586Z,58.6802,-153.8479,1.6,1.7,ml,ak
2023-11-06T11:06:46.220Z,38.828167,-122.8001633,1.89,0.71,md,nc
2023-11-06T10:50:21.333Z,58.8609,-153.8763,14.4,1.7,ml,ak
2023-11-06T10:46:40.426Z,28.9234,82.0858,10,5.3,mb,us
2023-11-06T10:46:29.120Z,19.07383347,-155.3466644,33.24000168,2.01999998,md,hv
2023-11-06T10:45:51.970Z,58.7257,-153.7423,14.2,2,ml,ak
2023-11-06T10:37:01.560Z,38.8303337,-122.815834,1.64,1.07,md,nc
2023-11-06T10:23:29.150Z,44.2765,-110.6131667,10.9,0.8,md,uu
2023-11-06T10:20:47.731Z,62.6033,-149.4418,11.8,1.1,ml,ak
2023-11-06T10:15:24.970Z,38.103,-122.842,12.7,0.93,md,nc
2023-11-06T10:03:56.000Z,32.282,-115.1245,11.49,2.01,ml,ci
2023-11-06T10:03:23.630Z,17.915,-66.99616667,16,1.82,md,pr
